"subjectid" "activity" "meas_type" "average"
1 "WALKING" "tBodyAcc-mean-X" 0.265696920582133
1 "WALKING" "tBodyAcc-mean-Y" -0.0182981725176081
1 "WALKING" "tBodyAcc-mean-Z" -0.10784573454611
1 "WALKING" "tGravityAcc-mean-X" 0.744867411573487
1 "WALKING" "tGravityAcc-mean-Y" -0.0825562579855908
1 "WALKING" "tGravityAcc-mean-Z" 0.072339870389049
1 "WALKING" "tBodyAccJerk-mean-X" 0.0770930495126801
1 "WALKING" "tBodyAccJerk-mean-Y" 0.0165908438802305
1 "WALKING" "tBodyAccJerk-mean-Z" -0.00910758730117003
1 "WALKING" "tBodyGyro-mean-X" -0.0208764064320173
1 "WALKING" "tBodyGyro-mean-Y" -0.0880722729400576
1 "WALKING" "tBodyGyro-mean-Z" 0.0862641666597983
1 "WALKING" "tBodyGyroJerk-mean-X" -0.0971120197265994
1 "WALKING" "tBodyGyroJerk-mean-Y" -0.0417164808293948
1 "WALKING" "tBodyGyroJerk-mean-Z" -0.0471393985477522
1 "WALKING" "tBodyAccMag-mean" -0.453632943768818
1 "WALKING" "tGravityAccMag-mean" -0.453632943768818
1 "WALKING" "tBodyAccJerkMag-mean" -0.545431612066571
1 "WALKING" "tBodyGyroMag-mean" -0.475404785802305
1 "WALKING" "tBodyGyroJerkMag-mean" -0.639517432642651
1 "WALKING" "fBodyAcc-mean-X" -0.531895161258213
1 "WALKING" "fBodyAcc-mean-Y" -0.406435448904438
1 "WALKING" "fBodyAcc-mean-Z" -0.596411165253602
1 "WALKING" "fBodyAccJerk-mean-X" -0.547348892435764
1 "WALKING" "fBodyAccJerk-mean-Y" -0.507343617969859
1 "WALKING" "fBodyAccJerk-mean-Z" -0.695305113832853
1 "WALKING" "fBodyGyro-mean-X" -0.623219182311527
1 "WALKING" "fBodyGyro-mean-Y" -0.505309434070029
1 "WALKING" "fBodyGyro-mean-Z" -0.553529065425648
1 "WALKING" "fBodyAccMag-mean" -0.478448523354179
1 "WALKING" "fBodyBodyAccJerkMag-mean" -0.499075765624092
1 "WALKING" "fBodyBodyGyroMag-mean" -0.535002770337752
1 "WALKING" "fBodyBodyGyroJerkMag-mean" -0.645970655298847
2 "STANDING" "tBodyAcc-mean-X" 0.273113115788079
2 "STANDING" "tBodyAcc-mean-Y" -0.0191323183174834
2 "STANDING" "tBodyAcc-mean-Z" -0.115649958175497
2 "STANDING" "tGravityAcc-mean-X" 0.660782866688742
2 "STANDING" "tGravityAcc-mean-Y" -0.147219886910411
2 "STANDING" "tGravityAcc-mean-Z" 0.134865335090728
2 "STANDING" "tBodyAccJerk-mean-X" 0.0785353156747351
2 "STANDING" "tBodyAccJerk-mean-Y" 0.00708771249764901
2 "STANDING" "tBodyAccJerk-mean-Z" 0.000755760748377483
2 "STANDING" "tBodyGyro-mean-X" -0.0517030657821192
2 "STANDING" "tBodyGyro-mean-Y" -0.0568420186817881
2 "STANDING" "tBodyGyro-mean-Z" 0.0872599422291391
2 "STANDING" "tBodyGyroJerk-mean-X" -0.0875587491668874
2 "STANDING" "tBodyGyroJerk-mean-Y" -0.0433986835453642
2 "STANDING" "tBodyGyroJerk-mean-Z" -0.0557541828188742
2 "STANDING" "tBodyAccMag-mean" -0.535281800541722
2 "STANDING" "tGravityAccMag-mean" -0.535281800541722
2 "STANDING" "tBodyAccJerkMag-mean" -0.58777744543543
2 "STANDING" "tBodyGyroMag-mean" -0.614771054893146
2 "STANDING" "tBodyGyroJerkMag-mean" -0.746559539039735
2 "STANDING" "fBodyAcc-mean-X" -0.57377091142947
2 "STANDING" "fBodyAcc-mean-Y" -0.432566581302351
2 "STANDING" "fBodyAcc-mean-Z" -0.630081222124834
2 "STANDING" "fBodyAccJerk-mean-X" -0.561682049622185
2 "STANDING" "fBodyAccJerk-mean-Y" -0.50890379901457
2 "STANDING" "fBodyAccJerk-mean-Z" -0.715745330403973
2 "STANDING" "fBodyGyro-mean-X" -0.638717694593046
2 "STANDING" "fBodyGyro-mean-Y" -0.722068978635762
2 "STANDING" "fBodyGyro-mean-Z" -0.601594889654305
2 "STANDING" "fBodyAccMag-mean" -0.514569861316887
2 "STANDING" "fBodyBodyAccJerkMag-mean" -0.509746432970861
2 "STANDING" "fBodyBodyGyroMag-mean" -0.699742945221854
2 "STANDING" "fBodyBodyGyroJerkMag-mean" -0.751615078360927
3 "WALKING" "tBodyAcc-mean-X" 0.273428719636364
3 "WALKING" "tBodyAcc-mean-Y" -0.017856067384956
3 "WALKING" "tBodyAcc-mean-Z" -0.106492632429097
3 "WALKING" "tGravityAcc-mean-X" 0.707814353343108
3 "WALKING" "tGravityAcc-mean-Y" -0.0260590480328739
3 "WALKING" "tGravityAcc-mean-Z" 0.0480937904190616
3 "WALKING" "tBodyAccJerk-mean-X" 0.0701731261988856
3 "WALKING" "tBodyAccJerk-mean-Y" 0.0144664329060411
3 "WALKING" "tBodyAccJerk-mean-Z" -0.000526818872875366
3 "WALKING" "tBodyGyro-mean-X" -0.0248490682828446
3 "WALKING" "tBodyGyro-mean-Y" -0.0743565308442815
3 "WALKING" "tBodyGyro-mean-Z" 0.0866875497119062
3 "WALKING" "tBodyGyroJerk-mean-X" -0.0991554609633431
3 "WALKING" "tBodyGyroJerk-mean-Y" -0.0401923943695015
3 "WALKING" "tBodyGyroJerk-mean-Z" -0.0521178264170088
3 "WALKING" "tBodyAccMag-mean" -0.563140802770059
3 "WALKING" "tGravityAccMag-mean" -0.563140802770059
3 "WALKING" "tBodyAccJerkMag-mean" -0.650182434328446
3 "WALKING" "tBodyGyroMag-mean" -0.643150121648094
3 "WALKING" "tBodyGyroJerkMag-mean" -0.784056656246334
3 "WALKING" "fBodyAcc-mean-X" -0.625733289873607
3 "WALKING" "fBodyAcc-mean-Y" -0.501779938505279
3 "WALKING" "fBodyAcc-mean-Z" -0.699656828592375
3 "WALKING" "fBodyAccJerk-mean-X" -0.645893496630499
3 "WALKING" "fBodyAccJerk-mean-Y" -0.582949919157742
3 "WALKING" "fBodyAccJerk-mean-Z" -0.780101644193548
3 "WALKING" "fBodyGyro-mean-X" -0.642097719778592
3 "WALKING" "fBodyGyro-mean-Y" -0.775144985073314
3 "WALKING" "fBodyGyro-mean-Z" -0.670734708996481
3 "WALKING" "fBodyAccMag-mean" -0.579076453758064
3 "WALKING" "fBodyBodyAccJerkMag-mean" -0.604752108072727
3 "WALKING" "fBodyBodyGyroMag-mean" -0.716822144279179
3 "WALKING" "fBodyBodyGyroJerkMag-mean" -0.810085498651026
4 "STANDING" "tBodyAcc-mean-X" 0.274183111498423
4 "STANDING" "tBodyAcc-mean-Y" -0.0148081545344921
4 "STANDING" "tBodyAcc-mean-Z" -0.107521430810726
4 "STANDING" "tGravityAcc-mean-X" 0.706593043123028
4 "STANDING" "tGravityAcc-mean-Y" 0.112591195496986
4 "STANDING" "tGravityAcc-mean-Z" 0.164130896618297
4 "STANDING" "tBodyAccJerk-mean-X" 0.0788637845151419
4 "STANDING" "tBodyAccJerk-mean-Y" 0.00351340949514196
4 "STANDING" "tBodyAccJerk-mean-Z" -0.00737375142832808
4 "STANDING" "tBodyGyro-mean-X" -0.0289417906907571
4 "STANDING" "tBodyGyro-mean-Y" -0.0787229907785489
4 "STANDING" "tBodyGyro-mean-Z" 0.0957174866009464
4 "STANDING" "tBodyGyroJerk-mean-X" -0.107859315713249
4 "STANDING" "tBodyGyroJerk-mean-Y" -0.0400427574662461
4 "STANDING" "tBodyGyroJerk-mean-Z" -0.0578089304000631
4 "STANDING" "tBodyAccMag-mean" -0.56158213510694
4 "STANDING" "tGravityAccMag-mean" -0.56158213510694
4 "STANDING" "tBodyAccJerkMag-mean" -0.656116311856877
4 "STANDING" "tBodyGyroMag-mean" -0.656291093847319
4 "STANDING" "tBodyGyroJerkMag-mean" -0.819191368044164
4 "STANDING" "fBodyAcc-mean-X" -0.628806379100946
4 "STANDING" "fBodyAcc-mean-Y" -0.52583456615142
4 "STANDING" "fBodyAcc-mean-Z" -0.755235428895899
4 "STANDING" "fBodyAccJerk-mean-X" -0.652023078038801
4 "STANDING" "fBodyAccJerk-mean-Y" -0.601696223759495
4 "STANDING" "fBodyAccJerk-mean-Z" -0.825154871135647
4 "STANDING" "fBodyGyro-mean-X" -0.641881977553943
4 "STANDING" "fBodyGyro-mean-Y" -0.831527531009464
4 "STANDING" "fBodyGyro-mean-Z" -0.689308946422713
4 "STANDING" "fBodyAccMag-mean" -0.602098037677603
4 "STANDING" "fBodyBodyAccJerkMag-mean" -0.63501900541041
4 "STANDING" "fBodyBodyGyroMag-mean" -0.745650754608833
4 "STANDING" "fBodyBodyGyroJerkMag-mean" -0.838833209652997
5 "WALKING" "tBodyAcc-mean-X" 0.279177960301325
5 "WALKING" "tBodyAcc-mean-Y" -0.0154833455336192
5 "WALKING" "tBodyAcc-mean-Z" -0.105661736816887
